a	а
compliances	відповідність
compliant	поступливий
complicate	ускладнювати
complicated	складний
complicates	ускладнює
complicating	ускладнення
complication	ускладнення
complications	ускладнення
complicity	співучасть
complied	виконано
compliment	комплімент
complimentary	безкоштовний
complimented	похвалив
compliments	компліменти
complot	комплот
comply	виконувати
complying	дотримання
component	компонент
components	компоненти
comport	компорт
comported	коментується
compose	складати
composed	складений
composedly	складно
composer	композитор
composers	композитори
composes	складає
composing	складання
composite	композитний
composites	композити
composition	композиція
compositions	композиції
compositor	композитор
compositors	композитори
compost	компост
composure	самовладання
compote	компот
compound	з&#x27;&#x27;єднання
compounded	складений
compounder	товариш
compounding	складання
compounds	сполуки
comprador	товариш
comprehend	осмислити
comprehended	осмислений
comprehending	розуміючи
comprehends	осягає
comprehensibility	зрозумілість
comprehensible	зрозумілий
comprehension	осмислення
comprehensive	всебічний
comprehensiveness	всебічність
compress	компрес
compressed	стиснута
compresses	компреси
compressible	стисливий
compressing	стискання
compression	стиснення
compressions	компресії
compressor	компресор
compressors	компресори
comprise	складають
comprised	складаються
comprises	включає
comprising	що включає
compromise	компроміс
compromised	скомпрометований
compromises	компроміси
compromising	компрометуючі
comptroller	контролер
comptrollers	контролери
compulsion	примушення
compulsions	примуси
compulsive	нав&#x27;&#x27;язливий
compulsorily	примусово
compulsory	примусовий
compunction	з&#x27;&#x27;єднання
compunction	з&#x27;&#x27;єднання
compunctions	компенсації
computable	обчислювальна
computation	обчислення
computational	обчислювальна
compute	обчислити
computed	обчислюється
computer	комп’ютер
computerisation	комп’ютеризація
computerise	комп’ютеризувати
computerised	комп’ютеризовані
computerises	комп’ютеризація
computerising	комп’ютеризація
computerize	комп’ютеризувати
computerized	комп’ютеризовані
computes	обчислюється
comrade	товариш
comradely	товариш
comrades	товариші
comradeship	товариство
concatenate	з&#x27;&#x27;єднати
concatenated	з&#x27;&#x27;єднаний
concatenates	конкатенати
concatenating	об&#x27;&#x27;єднувальний
concatenation	конкатенація
concatenations	конкатенації
concave	увігнуті
concavity	увігнутість
conceal	приховувати
concealed	приховано
concealing	приховування
concealment	приховування
conceals	приховує
concede	поступатися
conceded	поступився
conceit	самонадеяність
conceive	задумати
concentrate	концентрат
concentration	концентрація
concentric	концентричний
concept	концепція
conception	зачаття
conceptual	концептуальні
concern	турбота
concert	концерт
concertina	концертна
concerto	концерт
concession	концесія
conch	раковина
conciliation	примирення
concise	лаконічний
conclave	конклав
conclude	зробити висновок
conclusion	висновок
conclusive	переконливий
concoct	придумати
concomitant	супутній
concord	конкорд
concordance	узгодження
concordant	конкордантний
concourse	збір
concrete	бетонний
concubine	наложниця
concupiscence	умиротворення
concur	погоджуватися
concurrent	одночасний
concuss	струси
concussion	струс мозку
condemn	засуджувати
condensation	конденсація
condense	конденсуватися
condenser	конденсатор
condescend	поблажливий
condign	умовити
condiment	приправа
condition	стан
conditional	умовний
condole	співчуття
condom	презерватив
condominium	ОСББ
condone	прощати
condor	кондор
conduce	проводять
conduct	проводити
conductor	провідник
conduit	трубопровід
cone	конус
confab	конфаб
confection	кондитерська
confederacy	конфедерація
confederate	конфедерація
confederation	конфедерація
confer	надавати
conference	конференція
confess	зізнатися
confession	зізнання
confessional	конфесійний
confessor	сповідник
confetti	конфетті
confidant	довірений
confide	довіряти
confidence	впевненість
confident	впевнено
confidential	конфіденційною
configuration	конфігурація
confine	обмежуватися
confinement	ув&#x27;&#x27;язнення
confines	обмежується
confirm	підтвердити
confirmation	підтвердження
confiscate	конфіскувати
conflagration	спалах
conflict	конфлікт
confluence	злиття
conform	відповідно
conformation	конформація
conformist	конформіст
conformity	відповідність
confound	плутати
confraternity	свавілля
confront	протистояти
confrontation	протистояння
confucian	конфуціанський
confuse	плутати
confusion	плутанина
confute	плутати
congeal	вроджений
congenial	породжений
congenital	вроджений
conger	смішніший
congested	переповнений
congestion	затори
conglomerate	конгломерат
conglomeration	конгломерація
congratulate	привітати
congratulation	поздоровлення
congregate	зібратися
congregation	з&#x27;&#x27;їзд
congress	конгрес
congruence	конгруентність
congruent	конгруентний
congruity	конгрунтність
conic	конічний
conifer	хвойні
conjecture	здогад
conjoin	з&#x27;&#x27;єднуватися
conjugal	одружений
conjugate	кон&#x27;&#x27;югат
conjunction	сполучник
conjunctiva	кон&#x27;&#x27;юнктива
conjunctive	сполучник
conjuncture	кон&#x27;&#x27;юнктура
conjuration	сполучення
conjure	чарувати
conk	конк
conker	конкер
connect	підключити
connection	з&#x27;&#x27;єднання
connective	сполучний
connectivity	підключення
connivance	потурання
connive	породжувати
connoisseur	знавець
connote	конотувати
connubial	суміжний
conquer	підкорити
conquest	завоювання
consanguinity	спорідненість
conscience	совість
conscientious	сумлінний
conscious	свідомий
consciousness	свідомість
conscript	призовник
consecrate	посвятити
consecutive	поспіль
consensus	консенсус
consent	згода
consequence	наслідок
consequent	як наслідок
consequential	наслідкові
conservancy	збереженість
conservation	збереження
conservatism	консерватизм
conservative	консервативний
conservatoire	консерваторія
conservatory	консерваторія
conserve	берегти
consider	розглянути
considerable	чималий
considerate	уважний
consideration	розгляд
considering	розглядаючи
consign	партія
consignment	партія
consist	складаються
consistence	консистенція
consistent	послідовний
consolation	втіху
consolatory	консолідуючий
console	консоль
consolidate	консолідувати
consolidation	консолідація
consomme	м&#x27;&#x27;ясний бульйон
consonance	співзвучність
consonant	приголосний
consort	сузір
consortium	консорціум
conspectus	конспект
conspicuous	помітний
conspiracy	змова
conspirator	змовник
conspire	змова
constable	констебль
constancy	сталість
constant	постійний
constellation	сузір&#x27;&#x27;я
consternation	здивування
constipate	запор
constipation	запор
constituency	виборчий округ
constituent	складова
constitute	складають
constitution	конституція
constitutional	конституційний
constrain	стримувати
constraint	обмеження
constrict	звужувати
construct	побудувати
construction	будівництво
constructive	конструктивний
construe	конструкція
consul	консул
consulate	консульство
consult	проконсультуватися
consultant	консультант
consultation	консультація
consultative	консультативний
consume	споживати
consumer	споживач
consummate	неперевершений
consummation	споживання
consumption	споживання
consumptive	споживчий
contact	контактний
contagion	зараження
contagious	заразний
contain	містити
contaminate	забруднювати
contamination	забруднення
contemplate	споглядати
contemplation	споглядання
contemplative	споглядальний
contemporaneous	сучасник
contemporary	сучасний
contempt	презирство
contemptible	зневажливий
contemptuous	презирливий
contend	сперечатися
content	зміст
contention	суперечка
contentious	суперечливий
contest	конкурс
context	контекст
contiguity	суміжність
contiguous	суміжний
continence	континенту
continent	континент
contingent	контингент
continual	постійний
continuance	продовження
continue	продовжувати
continuity	наступність
continuous	безперервний
continuum	континуум
contort	контор
contour	контур
contraband	контрабанда
contraception	контрацепція
contract	договір
contradict	суперечать
contradiction	протиріччя
contradistinction	протиріччя
contraflow	протитоку
contralto	контральто
contraption	контрацепція
contrariwise	навпаки
contrary	навпаки
contrast	контраст
contravene	суперечити
contravention	протиріччя
contretemps	неприємність
contribute	сприяти
contribution	внесок
contributory	внесок
contrite	заперечувати
contrition	згубність
contrivance	придушення
contrive	придумувати
control	контроль
controller	контролер
controversial	суперечливий
controversy	суперечка
controvert	суперечливий
contumacious	непереборний
contumacy	виразність
contumely	безумовно
contuse	контузія
conundrum	головоломка
conurbation	амурбація
convalesce	видужувати
convector	конвектор
convene	скликати
convenience	зручність
convenient	зручно
convent	монастир
convention	конвенція
conventional	звичайні
conventionality	умовність
converge	сходяться
convergence	конвергенція
conversant	розмовний
conversation	розмова
converse	навпаки
conversion	конверсія
convert	конвертувати
convertible	кабріолет
convex	опуклий
convey	передати
conveyance	транспортування
convict	засуджений
conviction	переконання
convince	переконати
convivial	товариський
convocation	скликання
convoke	скликати
convoluted	звивистий
convolution	згортка
convoy	конвой
convulse	судоми
convulsion	судоми
convulsive	судомний
cony	конь
coo	кухар
cook	готувати
cooker	плита
cookery	кулінарія
cool	круто
coolant	теплоносій
cooler	кулер
coolie	кулі
coon	кун
coop	кооп
cooper	купер
coot	лиска
cop	коп
cope	впоратися
coping	справлятися
copious	рясний
copper	мідь
copula	копула
copulate	спаровуватися
copy	копія
copyright	авторські права
coquetry	кокетство
coracle	чудо
coral	коралів
corbel	мозоль
cord	шнур
cordage	кордаж
cordial	сердечний
cordite	кордит
cordon	кордон
cords	шнури
corduroy	вельвет
core	серцевина
corgi	коргі
coriander	коріандр
corinthian	коринтський
cork	пробка
corkage	пробка
corker	коркер
cormorant	баклан
corn	кукурудза
cornea	рогівка
corner	куточок
cornet	корнет
cornice	карниз
cornucopia	рогівки
corny	банальний
corolla	віночок
corollary	слідство
corona	корона
coronary	коронарна
coronation	коронація
coroner	коронер
coronet	коронка
corporal	тілесний
corporate	корпоративний
corporation	корпорація
corporeal	тілесний
corps	корпус
corpse	труп
corpulent	трупний
corpus	корпус
corpuscle	тільця
corral	корраль
correct	правильно
correction	виправлення
corrective	коригуючий
correlate	співвіднесені
correlation	кореляція
correlative	співвідносні
correspond	відповідають
correspondence	листування
correspondent	кореспондент
corridor	коридор
corroborate	підтверджують
corroboration	підтвердження
corrode	роз’їдає
corrosive	корозійний
corrugate	гофрований
corrupt	корумпований
corruption	корупція
corsage	корсаж
corsair	корсар
corset	корсет
cortege	кортеж
cortex	кора
cortisone	кортизон
corundum	корунд
coruscate	корусати
corvette	корвет
cosh	кошовий
cosine	косинус
cosmetic	косметичний
cosmic	космічний
cosmogony	космогонія
cosmology	космологія
cosmonaut	космонавт
cosmopolitan	космополітичний
cosmos	космос
cosset	косі
cost	вартість
costly	дорогий
costume	костюм
cot	ліжечко
cote	кошара
coterminous	вічно
cottage	котедж
cottar	котедж
cotton	бавовна
cotyledon	сім’ядолі
couch	диван
couchette	кушетка
cougar	пума
cough	кашель
could	міг
council	рада
counsel	адвокат
counselling	консультування
counselor	радник
count	рахувати
countenance	обличчя
counter	лічильник
counteract	протидіяти
counterblast	контрбласт
counterclaim	зустрічний позов
counterfeit	підроблений
counterfoil	стільниця
countermand	контрманд
countermeasure	контрзахід
counteroffer	зустрічна пропозиція
counterpane	контрапан
counterpart	аналог
counterpoint	контрапункт
counterpoise	контрпуза
countersign	підписання
countersink	зустрічна думка
countertenor	контртенор
countervail	компенсація
countess	графиня
countless	незліченна кількість
countrified	перелічений
country	країна
countryman	земляк
countryside	сільській місцевості
county	повіт
coup	переворот
coupe	купе
couple	пара
couplet	куплет
coupling	муфта
coupon	купон
courage	мужність
courageous	мужній
courgette	кабачки
courier	кур&#x27;&#x27;єр
course	звичайно
court	суд
courteous	чемний
courtesan	куртизанка
courtesy	ввічливість
courtier	придворний
courtly	дворянський
courtship	залицяння
courtyard	двір
cousin	кузен
couture	кутюр
cove	бухта
coven	ковен
covenant	заповіт
coventry	ковентрі
cover	обкладинка
coverage	покриття
coverlet	ковдра
covert	приховано
covet	бажати
covetous	жадібний
covetousness	жадібність
covey	облягати
cow	корова
coward	боягуз
cowardice	боягузтво
cower	корова
cowl	кожух
cowpox	коров’яча віспа
cowrie	коурі
cowslip	коров&#x27;&#x27;яча ковзанка
cox	кокс
coxcomb	хлюст
coxswain	коксвейн
coy	кою
coyote	койот
coypu	койпу
cozen	обманювати
cozy	затишно
crab	краб
crack	тріщини
cracker	зломщик
crackers	сухарі
crackle	тріскати
crackling	потріскування
crackpot	тріщини
cradle	колиска
craft	ремесло
craftsman	майстра
crag	краг
cram	набивати
cramp	судома
crampon	крампон
cranberry	Журавлина
crane	кран
cranial	черепний
cranium	череп
crank	кривошип
cranny	кривошип
crap	лайно
crape	гадюка
craps	лайно
crash	крах
crass	красс
crate	ящик
crater	кратер
cravat	краватка
crave	жадати
craven	жагати
crawl	повзати
crayfish	раки
crayon	олівець
craze	манія
crazed	божевільний
crazy	божевільний
creak	скрип
cream	крем
crease	скласти
create	творити
creation	створення
creative	креативний
creator	творець
creature	створіння
creche	ясла
credence	довіра
credentials	повноваження
credible	достовірні
credit	кредит
creditable	достовірний
creditor	кредитор
credo	кредо
credulity	довірливість
credulous	довірливий
creed	віра
creek	струмок
creel	криль
creep	повзучість
creeper	плазун
creepy	моторошно
cremate	креман
crenelated	кренельований
creole	креол
creosote	креозот
crepe	креп
crept	підкрався
crepuscular	крепускулярний
crescendo	Кресчендо
crescent	півмісяць
cress	крес
crest	гребінь
cretaceous	крейдяний
cretin	кретин
cretonne	кретон
crevasse	кривошип
crevice	щілина
crew	екіпаж
crib	ліжечко
cribbage	цибуля
crick	крик
cricket	цвіркун
cried	плакала
crier	кур&#x27;&#x27;єр
cries	плаче
crikey	крик
crime	злочин
criminal	злочинний
criminology	кримінологія
crimp	обтискання
crimson	малиновий
cringe	притулок
crinkle	зім&#x27;&#x27;яти
crinoline	кринолін
cripple	каліка
crisis	криза
crisp	хрусткий
crisscross	Навхрест
criterion	критерій
critic	критик
critical	критичний
criticism	критика
criticize	критикувати
critique	критика
croak	крук
crochet	гачком
crock	череп
crockery	посуд
crocodile	крокодила
crocus	крокус
croesus	крос
croft	крафт
crone	крон
crony	кроні
crook	шахрай
crooked	криво
croon	крон
crop	урожай
cropper	кукурудза
croquet	крокет
croquette	крокет
crore	крор
cross	хрест
crossbar	поперечина
crossbeam	поперечний промінь
crossbow	арбалет
crossbred	схрещений
crossbreed	схрещування
crosscut	розріз
crossfire	перехресний вогонь
crossing	перетинання
crosspatch	схрещування
crossroad	перехрестя
crosswalk	пішохідний перехід
crosswind	поперечний вітер
crosswise	хрестоподібно
crossword	кросворд
crotch	промежина
crotchet	гачком
crouch	присісти
croup	круп
croupier	крупіє
crow	ворона
crowbar	лом
crowd	натовп
crowdfunding	краудфандинг
crown	корона
crucial	вирішальне значення
crucible	тигель
crucifix	розп&#x27;&#x27;яття
crucifixion	розп&#x27;&#x27;яття
cruciform	хрестоподібні
crucify	розпинати
crud	сирий
crude	сирий
cruel	жорстокий
cruelty	жорстокість
cruet	крут
cruise	круїз
crumb	крихти
crumble	кришитися
crumbly	розсипчастий
crummy	крихітний
crumpet	крихта
crumple	зім&#x27;&#x27;яти
crunch	хрускіт
crupper	подрібнювач
crusade	хрестовий похід
crush	розчавити
crust	кірка
crustacean	ракоподібні
crusted	розжарений
crusty	корочка
crutch	милиця
crux	суха
cry	плач
crying	плач
crypt	склеп
cryptic	криптовалюта
cryptogram	криптограма
crystal	кристал
crystalline	кристалічний
crystallize	кристалізуються
cub	дитинча
cube	куб
cubic	куб
cubical	кубічний
cubicle	куб
cubism	кубізм
cubit	лікт
cuckold	рогоносець
cuckoo	зозуля
cucumber	огірок
cud	жуйка
cuddle	обійматися
cudgel	дубинка
cue	кий
cuff	манжета
cuisine	кухня
culinary	кулінарні
cull	збиток
culminate	завершитися
culpable	винна
culprit	винуватець
cult	культ
cultivable	оброблюваний
cultivate	культивувати
cultivation	вирощування
cultivator	культиватор
cultural	культурні
culture	культури
culvert	водовід
cumbersome	громіздкий
cumin	кмин
cummerbund	кумербунд
cumulative	кумулятивний
cumulus	кучевик
cuneiform	клинопис
cunning	хитрий
cunt	пизда
cup	чашка
cupboard	шафа
cupid	амур
cupidity	скупість
cupola	чашечка
cuppa	чашка
cupric	курік
cur	кур
curable	виліковна
curacy	цілісність
curate	лікувати
curative	лікувальний
curator	куратор
curb	бордюр
curd	сир
curdle	сирник
cure	вилікувати
curfew	комендантська година
curio	допитливість
curiosity	цікавість
curious	цікавий
curium	курій
curl	завиток
curlew	завивка
curling	завивка
curly	кучерявий
curmudgeon	бігун
currant	смородина
currency	валюта
current	струм
curriculum	навчальний план
curry	каррі
curse	прокляття
cursed	проклятий
cursive	допитливий
cursory	біглий
curt	керт
curtail	згортати
curtain	завіса
curvature	кривизна
curve	крива
cushion	подушка
cushy	тихий
cusp	купірування
cuss	кліс
cussed	переймався
custard	заварний крем
custodian	зберігач
custody	опіка
custom	звичай
customary	звичний
customer	замовник
cut	вирізати
cute	милий
cuticle	кутикула
cutlass	котлет
cutler	катлер
cutlet	котлет
cutter	різець
cutthroat	кротовий горло
cutting	різання
cuttlefish	каракатиці
cyanide	ціанід
cyber	кібер
cybercafe	Інтернет-кафе
cybernetics	кібернетика
cycle	цикл
cyclic	циклічний
cyclical	циклічний
cyclist	велосипедист
cyclone	циклон
cyclopedia	циклопедія
cyclotron	циклотрон
cygnet	сигнет
cylinder	циліндр
cymbal	цимбала
cynic	цинічний
cynical	цинічний
cynosure	синюшність
cypress	кипарис
cyrillic	кирилиця
cyst	кіста
cystitis	цистит
czar	цар
czech	чеська
dab	мазок
dabble	дрімати
dace	Дайс
dacha	дача
dachshund	такса
dacoit	дакоїт
dacron	дакрон
dactyl	дактил
dad	Папа
dadaism	дадаїзм
daddy	тато
dado	дадо
daemon	демон
daffodil	нарцис
daft	дафт
dagger	кинджал
dago	даго
daguerreotype	дагерреотип
dahlia	жоржин
daily	щодня
dainty	ласий
dairy	молочний
dais	маргаритка
daisy	ромашка
dale	далека
dalliance	дальність
dally	марно втрачати час
dalmatian	далматин
dam	гребля
damage	пошкодження
damask	дамаський
dame	дама
damn	чорт
damnable	проклятий
damnation	прокляття
damned	проклятий
damp	вологий
dampen	мочити
damper	демпфер
damsel	дівчинка
damson	дамсон
dance	танцювати
dandelion	кульбаба
dander	глухота
dandle	кульбаба
dandruff	лупа
dandy	денді
danger	небезпека
dangerous	небезпечний
dangle	бовтатися
danish	датський
dank	мокрий
dapper	багряний
dapple	дзвоник
dare	наважуйся
daring	зухвалий
dark	темний
darken	темніти
darling	любий
darn	чорт
dart	дротик
dash	тире
dastard	дратівливий
data	дані
date	дата
dative	датив
datum	дата
daub	мазок
daughter	дочка
daunt	непростий
dauntless	безтурботний
dauphin	дофін
davenport	Давенпорт
davit	давіт
dawdle	спати
dawn	світанок
day	день
daylight	денне світло
daze	осліп
dazzle	засліплювати
deacon	диякон
deactivate	відключити
dead	мертвий
deaden	мертвий
deadlock	тупик
deadly	смертельний
deaf	глухий
deafen	глухий
deal	угода
dealer	дилер
dealing	справу
dealt	розібралися
dean	декан
dear	шановний
dearth	недостойність
deary	божевільний
death	смерть
deathless	безсмертний
deathlike	смертельно схожий
deathly	смертельний
deb	деб
debacle	гріх
debar	дебар
debark	демарк
debase	дебаза
debatable	дискусійний
debate	дебати
debauch	розпуста
debenture	боргу
debilitate	виснажувати
debit	дебет
debonair	галантність
debouch	дебютувати
debrief	реферат
debris	сміття
debt	борг
debug	відлагоджувати
debunk	розвінчати
debut	дебют
debutante	дебютант
decade	десятиліття
decadence	декаданс
decadent	декадент
decaffeinate	безкофеїн
decamp	руйнуються
decant	декантувати
decapitate	обезголовити
decathlon	десятиборство
decay	розпад
decease	обманювати
deceit	обман
deceitful	оманливий
deceive	обманювати
decency	порядність
decent	пристойний
decentralize	децентралізувати
deception	обман
deceptive	оманливий
decibel	децибел
decide	вирішити
deciduous	листяні
decimal	десятковий
decimate	десятковий
decipher	розшифрувати
decision	рішення
decisive	вирішальний
deck	настил
declaim	заявляти
declamation	декламація
declaration	декларація
declare	заявити
declassify	розсекречувати
declension	відхилення
declination	скланення
decline	занепад
declivity	схильність
decode	декодувати
decompose	розкласти
decompress	декомпресувати
decongestant	деконгестант
decontaminate	знезаражувати
decontrol	деконтроль
decor	декор
decorate	прикрашати
decoration	прикраса
decorous	декоративні
decorum	декор
decoy	манок
decrease	зменшення
decree	указ
decrepit	ледачий
decry	дешифрувати
dedicate	присвятити
deduce	вивести
deduct	відрахувати
deduction	відрахування
deed	вчинок
deem	вважати
deep	глибокий
deer	олені
deface	дефект
defalcation	дефалькація
defame	ганьбити
default	за замовчуванням
defeat	поразка
defecate	дефекація
defect	дефект
defection	дефект
defective	несправний
defend	захищати
defendant	відповідач
defense	оборони
defensible	захищається
defensive	оборонний
defer	відкладати
deference	поваги
defiance	непристойність
defiant	зухвало
deficiency	дефіцит
deficient	дефіцитний
deficit	дефіцит
defile	дефіле
define	визначити
definite	визначений
definition	визначення
definitive	остаточний
deflate	спуску
deflect	відхилити
deflower	дефлоуер
defoliate	знежирити
deforest	вирубування лісів
deform	деформувати
deformity	деформація
defraud	обманювати
defray	відшкодування
defrock	відмивати
defrost	розморожування
deft	спритний
defunct	неіснуючий
defuse	знешкодити
defy	протистояти
degenerate	вироджений
degrade	деградують
degree	ступінь
dehumanize	дегуманізувати
dehydrate	зневоднювати
deify	обожнювати
deign	лаяти
deism	деїзм
deity	божество
deject	відкинути
delay	затримка
delectable	приємний
delectation	видалення
delegate	делегат
delegation	делегація
delete	видалити
deleterious	згубний
delft	пониження
deliberate	навмисне
deliberation	роздуми
delicacy	делікатність
delicate	делікатний
delicatessen	делікатес
delicious	смачно
delight	захоплення
delimit	розмежувати
delineate	розмежувати
delinquency	правопорушення
delinquent	делінквент
deliquescent	химерний
delirious	марення
delirium	марення
deliver	доставити
delivery	доставка
delouse	зводити вошей
delphinium	дельфініум
delta	дельта
delude	обман
deluge	потоп
delusion	марення
delusive	помилковий
deluxe	люкс
delve	заглибитися
demagnetize	розмагнічувати
demagogue	демагог
demand	попит
demarcate	розмежувати
demarcation	розмежування
demean	принижувати
demented	дементований
demerit	демеріт
demesne	демесне
demigod	напівбог
demijohn	деміджон
demilitarize	демілітаризувати
demise	смерть
demist	деміст
demob	демоб
demobilize	демобілізувати
democracy	демократії
democrat	демократ
democratic	демократичний
democratize	демократизувати
demography	демографія
demolish	знести
demon	демон
demonetize	демонетизувати
demoniac	демонічний
demonstrable	показовий
demonstrate	демонструвати
demonstration	демонстрація
demonstrative	показовий
demonstrator	демонстратор
demoralize	деморалізувати
demos	демонстрації
demote	пониження
demotic	демотичний
demur	демур
demure	придушення
demystify	демістифікувати
den	лігво
denationalize	роздержавити
denatured	денатурований
deniable	заперечувати
denial	заперечення
denier	заперечення
denigrate	ганьбити
denim	денім
denizen	розпізнаний
denominate	деномінація
denomination	деномінація
denominator	знаменник
denote	позначають
denouement	розвінчання
denounce	доносити
dense	щільний
density	щільність
dent	вм&#x27;&#x27;ятина
dental	стоматологічний
dentifrice	зубний препарат
dentist	стоматолог
denture	протез
denude	засудити
denunciation	донос
deny	заперечувати
deodorant	дезодорант
deodorize	дезодорувати
depart	відійти
department	відділ
departure	від’їзд
depend	залежать
dependence	залежність
dependency	залежність
dependent	залежний
depict	зображувати
deplete	виснажувати
deplore	шкодувати
deploy	розгортати
deponent	депонент
depopulate	депопуляція
deport	депортувати
deportment	депортація
depose	скинути
deposit	депозит
deposition	осадження
depositor	вкладник
depository	депозитарій
depot	депо
deprave	псувати
depravity	розпуста
deprecate	застарілий
depreciate	знецінюватися
depredation	відступ
depress	депресія
depression	депресія
depressive	депресивний
deprive	позбавити
depth	глибина
deputation	депутація
depute	депутати
deputize	депутувати
deputy	заступник
derail	зірвати
derange	дивакувати
derby	дербі
derelict	занедбаний
deride	насміхатися
derision	насмішка
derisive	насмішливо
derisory	насмішка
derivation	виведення
derivative	похідне
derive	вивести
dermatitis	дерматит
dermatology	дерматологія
derogate	відступати
derogatory	зневажливо
derrick	витівка
dervish	дервіш
desalinate	опріснювати
desalt	знесолити
descale	накип
descant	дескан
descend	спуститися
descent	спуск
describe	описати
description	опис
descriptive	описовий
descry	опис
desecrate	осквернити
desegregate	розмежувати
desensitize	десенсибілізувати
desert	пустеля
deserve	заслуговують
deservedly	заслужено
deserving	заслуговуючи
desiccant	осушувач
desiccate	осушувати
desideratum	дезидерат
design	дизайн
designate	позначити
designation	позначення
designer	дизайнер
desirable	бажано
desire	бажання
desirous	бажаючий
desist	відмовитись
desk	бюро
desolate	спустошений
despair	відчай
desperado	відчайдухо
desperate	відчайдушно
despicable	зневажливий
despise	зневажати
despite	попри
despoil	зневірити
despondency	зневіра
despot	деспот
dessert	десерт
destination	пункт призначення
destine	доля
destiny	доля
destitute	знедолений
destroy	знищити
destructible	руйнівні
destruction	руйнування
destructive	руйнівний
desuetude	дезует
desultory	зневіра
detach	відриватися
detached	відірваний
detaches	відшарується
detaching	відшарування
detachment	загін
detachments	загони
detail	докладно
detailed	докладно
detailing	деталізація
details	деталі
detain	затримати
detained	затримано
detainee	затриманий
detainer	затримувач
detaining	затримання
detains	затримати
detect	виявити
detectable	помітний
detected	виявлено
detecting	виявлення
detection	виявлення
detections	виявлення
detective	детектив
detective story	Детектив
detectives	детективи
detector	детектор
detectors	детектори
detects	виявляє
detente	розряд
detention	затримання
detentions	затримання
deter	стримування
deterge	відмивання
detergent	миючий засіб
detergents	миючі засоби
deteriorate	погіршуватися
deteriorated	погіршився
deteriorates	погіршується
deteriorating	погіршується
deterioration	погіршення
determinable	визначальний
determinant	визначальний
determinants	детермінанти
determinate	визначити
determination	рішучість
determinations	визначення
determinative	визначальний
determine	визначити
determined	визначені
determiner	визначник
determiners	детермінанти
determining	визначальний
determinism	детермінізм
determinist	детерміновані
deterred	стримується
deterrent	стримуючий характер
deterring	стримування
deters	утримувати
detersive	детерсивний
detest	згубити
detestable	огидний
detestation	зневіру
detestations	відпустки
detested	зневірений
detesting	згубно
detests	протести
dethrone	детрон
dethronement	детронізація
detonate	підірвати
detonated	вибухнув
detonates	вибухує
detonating	вибуху
detonation	детонація
detonator	детонатор
detonators	детонатори
detour	Об&#x27;&#x27;їзд
detouring	об’їзд
detours	об&#x27;&#x27;їзди
detoxify	детоксикація
detoxifying	детоксикація
detract	применшити
detracted	зневірені
detracting	зволікаючи
detractor	зловмисник
detractors	недоброзичливці
detracts	применшує
detrain	ув&#x27;&#x27;язнення
detrained	зневірений
detraining	зневажливий
detrains	заперечує
detriment	шкода
detrimental	згубний
detriments	шкода
detrition	зневоднення
detritus	детрит
deuce	двійка
deuced	винесений
deucedly	прискіпливо
deuces	двійки
devaluate	знецінювати
devalue	знецінювати
devalued	знецінився
devalues	девальвує
devaluing	знецінення
devastate	спустошити
devastated	спустошений
devastates	спустошує
devastating	руйнівні
devastation	спустошення
devastations	спустошення
develop	розвиватися
developed	розвинені
developer	розробник
developers	розробники
developing	розвивається
development	розвиток
developmental	розвивальний
developments	розробки
develops	розвивається
deviant	девіантний
deviate	відхилятися
deviated	відхилився
deviates	відхиляється
deviating	відхиляється
deviation	відхилення
deviations	відхилення
device	пристрій
devil	чорт
devilfish	диявол
devilish	диявольський
devilment	чорт
devilments	чорти
devilry	диявол
devious	підступний
deviousness	покірність
devise	придумувати
devised	розроблений
deviser	розробник
devises	придумує
devising	придумуючи
devitalize	оживити
devitalized	девіталізувати
devoid	позбавлений
devoir	девір
devoirs	дерири
devolution	деволюція
devolve	переходити
devolve on	переходити далі
devolved	перейшов
devolves	переходить
devolving	перенесення
devote	присвятити
devoted	відданий
devotee	відданий
devotees	віддані
devotes	присвячує
devoting	присвячуючи
devotion	відданість
devotional	відданий
devotions	відданості
devour	пожирає
devoured	пожирав
devouring	пожирання
devours	пожирає
devout	побожний
devoutly	побожно
devoutness	побожність
dew	роса
dewdrop	росинка
dewdrops	роси
dewier	дев’є
dewing	роса
dewlap	росити
dews	роси
dewy	росовий
dexter	правий
dexterity	спритність
dexterous	спритний
dexterously	спритно
dextral	декстральний
dextrin	декстрин
dextrose	декстроза
dextrous	спритний
dharma	дхарма
dhobi	дхобі
dhoti	дхоті
dhow	дхоу
diabetes	діабет
diabetic	діабетик
diabetics	діабетикам
diablerie	діаблерія
diabolic	дьявольський
diabolical	дьявольський
diabolically	діаболічно
diabolism	діаболізм
diaconal	діаконський
diacritic	діакритичний
diacritical	діакритичний
diacritics	діакритики
diadem	діадема
diaeresis	діарез
diagnose	діагностувати
diagnosed	діагностовано
diagnoses	діагнози
diagnosing	діагностування
diagnosis	діагноз
diagnostic	діагностичний
diagnostician	діагност
diagnostics	діагностика
diagonal	діагональна
diagonally	по діагоналі
diagonals	діагоналі
diagram	діаграма
diagrammatic	схематичний
diagrammatically	схематично
diagrams	діаграми
dial	циферблат
dialect	діалект
dialectic	діалектика
dialectician	діалектик
dialecticians	діалектики
dialectology	діалектологія
dialects	говірки
dialled	набраний
dialler	дозвон
diallers	дозвони
dialling	набір номера
